,Index name,Indicator,Base Year,Unit Value,Country,Period,Quarter,Value,QoQ
0,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2010-01-01,2010Q1,3864014.8,
1,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2010-04-01,2010Q2,3901407.0,0.0096770333281333
2,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2010-07-01,2010Q3,3931570.5,0.007731441503026959
3,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2010-10-01,2010Q4,3951998.8,0.005195964309936629
4,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2011-01-01,2011Q1,3942477.8,-0.0024091606505548535
5,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2011-04-01,2011Q2,3969209.8,0.0067805074260658404
6,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2011-07-01,2011Q3,3967671.0,-0.00038768421865731373
7,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2011-10-01,2011Q4,4012175.5,0.011216781834985756
8,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2012-01-01,2012Q1,4044992.0,0.008179228450998721
9,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2012-04-01,2012Q2,4063431.5,0.004558599868677016
10,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2012-07-01,2012Q3,4070537.8,0.0017488420808864369
11,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2012-10-01,2012Q4,4075008.8,0.001098380661149978
12,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2013-01-01,2013Q1,4110371.3,0.008677895370434507
13,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2013-04-01,2013Q2,4116100.5,0.0013938400163509002
14,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2013-07-01,2013Q3,4148685.8,0.007916546255369639
15,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2013-10-01,2013Q4,4178190.0,0.00711169787791599
16,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2014-01-01,2014Q1,4163561.8,-0.003501085398222692
17,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2014-04-01,2014Q2,4217027.3,0.012841288917580185
18,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2014-07-01,2014Q3,4266154.0,0.011649604450035156
19,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2014-10-01,2014Q4,4285308.8,0.0044899457450433555
20,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2015-01-01,2015Q1,4320161.8,0.008133136169790056
21,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2015-04-01,2015Q2,4345218.8,0.005800014249466301
22,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2015-07-01,2015Q3,4359270.0,0.003233715181385266
23,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2015-10-01,2015Q4,4365644.8,0.0014623549355741172
24,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2016-01-01,2016Q1,4391366.3,0.005891798618155919
25,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2016-04-01,2016Q2,4404645.3,0.0030238880322963624
26,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2016-07-01,2016Q3,4431122.3,0.006011153724455376
27,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2016-10-01,2016Q4,4453140.0,0.004968876620715212
28,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2017-01-01,2017Q1,4472273.5,0.004296631141172291
29,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2017-04-01,2017Q2,4494804.5,0.005037929813550113
30,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2017-07-01,2017Q3,4531998.5,0.008274887150264254
31,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2017-10-01,2017Q4,4577575.0,0.010056600857215603
32,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2018-01-01,2018Q1,4609281.8,0.006926549537691784
33,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2018-04-01,2018Q2,4641424.3,0.006973429135966436
34,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2018-07-01,2018Q3,4674937.0,0.007220348288347722
35,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2018-10-01,2018Q4,4683435.3,0.0018178426789494662
36,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",NGDP_R_SA_XDC,2012,10e6,US,2019-01-01,2019Q1,4708852.8,0.0054271060390223
