VALUE,FREQ,COUNTRY,ID,UNIT_MULT,BASE_YEAR,TIME_FORMAT,PERIOD,DESCRIPTION.XML_LANG,DESCRIPTION
118836.7,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2004-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
117592.4,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2004-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
123526.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2004-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
125160.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2004-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
128805.7,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2005-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
131630.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2005-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
132592.2,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2005-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
135027.9,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2005-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
138584.5,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2006-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
140368.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2006-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
144274.5,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2006-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
147322.3,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2006-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
150793.9,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2007-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
154077.4,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2007-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
156133.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2007-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
160937.4,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2007-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
162444.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2008-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
163284,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2008-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
164551.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2008-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
156896,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2008-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
151116.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2009-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
147704.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2009-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
153559.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2009-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
156492.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2009-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
161187.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2010-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
168333.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2010-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
169363.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2010-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
171639,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2010-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
175653,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2011-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
177381.2,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2011-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
178874.9,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2011-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
178872.5,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2011-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
176932.2,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2012-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
170989.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2012-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
176282.5,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2012-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
179281.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2012-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
179216.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2013-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
180320.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2013-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
181301,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2013-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
179568.9,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2013-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
176882.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2014-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
175820.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2014-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
174309.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2014-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
175292.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2014-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
177876.7,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2015-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
181911.2,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2015-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
181881.5,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2015-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
179817.7,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2015-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
178239.8,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2016-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
175262.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2016-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
175979.9,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2016-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
176995.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2016-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
178612.6,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2017-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
180472.3,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2017-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
182762.1,Q,AR,NGDP_R_SA_XDC,6,2004,P3M,2017-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
