VALUE,FREQ,COUNTRY,ID,UNIT_MULT,BASE_YEAR,TIME_FORMAT,PERIOD,DESCRIPTION.XML_LANG,DESCRIPTION
3263869,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2002-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3362508,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2002-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3401820,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2002-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3460159,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2002-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3340163,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2003-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3429079,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2003-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3498914,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2003-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3597364,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2003-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3484837,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2004-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3575515,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2004-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3617667,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2004-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3721678,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2004-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3603670,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2005-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3701582,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2005-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3767844,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2005-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3828173,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2005-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3729338,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2006-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3836061,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2006-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3833693,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2006-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3916851,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2006-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3785119,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2007-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3896720,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2007-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3926744,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2007-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4015289,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2007-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3902770,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2008-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3934652,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2008-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3910393,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2008-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3895147,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2008-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3703443,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2009-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3782545,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2009-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3823607,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2009-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3926667,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2009-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3776480,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2010-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3900640,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2010-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3945123,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2010-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4026748,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2010-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3871183,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2011-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3957950,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2011-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3983907,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2011-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4078494,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2011-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3986349,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2012-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4046533,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2012-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4083025,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2012-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4138064,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2012-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4017571,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2013-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4104203,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2013-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4170710,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2013-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4260864,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2013-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4079517,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2014-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4194264,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2014-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4287261,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2014-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4371009,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2014-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4212523,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2015-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4343294,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2015-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4389955,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2015-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4444522,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2015-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4288310,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2016-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4407286,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2016-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4449603,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2016-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4535075,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2016-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4340814,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2017-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4510507,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2017-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4556956,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2017-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4668375,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2017-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4500182,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2018-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4646830,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2018-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4689905,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2018-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4772161,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2018-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4584814,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2019-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4753025,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2019-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4796221,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2019-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4901993,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2019-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4628460,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2020-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4335915,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2020-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4701108,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2020-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4843660,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2020-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4691624,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2021-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4890835,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2021-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4916402,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2021-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
5110951,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2021-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4855857,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2022-01-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
4985795,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2022-04-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
5018093,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2022-07-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
5157178,Q,US,NGDP_R_NSA_XDC,6,2012,P3M,2022-10-01,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
3233813,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2000-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3292687.3,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2000-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3295972.5,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2000-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3315562.5,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2000-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3304812.8,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2001-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3325348.5,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2001-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3312035.5,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2001-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3321220.3,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2001-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3348727.5,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2002-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3369339,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2002-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
3382935.3,Q,US,NGDP_R_SA_XDC,6,2012,P3M,2002-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
