ID,DESCRIPTION.XML_LANG,DESCRIPTION
NFIAXD_XDC,en,"Acquisitions less Disposals of Valuables, Nominal, Domestic Currency"
NFIAXD_SA_XDC,en,"Acquisitions less Disposals of Valuables, Nominal, Seasonally Adjusted, Domestic Currency"
NFIAXD_NSA_XDC,en,"Acquisitions less Disposals of Valuables, Nominal, Unadjusted, Domestic Currency"
NFIAXD_R_XDC,en,"Acquisitions less Disposals of Valuables, Real, Domestic Currency"
NFIAXD_R_SA_XDC,en,"Acquisitions less Disposals of Valuables, Real, Seasonally Adjusted, Domestic Currency"
NFIAXD_R_NSA_XDC,en,"Acquisitions less Disposals of Valuables, Real, Unadjusted, Domestic Currency"
IAFR_BP6_USD,en,"International Investment Positions, Net acquisition of financial assets (with Fund Record), US Dollars"
IADD_BP6_USD,en,"International Investment Positions, Assets, Direct investment, Debt instruments, US Dollars"
IADE_BP6_USD,en,"International Investment Positions, Assets, Direct investment, Equity and investment fund shares , US Dollars"
IAD_BP6_USD,en,"International Investment Positions, Assets, Direct investment, US Dollars"
IADF_BP6_USD,en,"International Investment Positions, Financial derivatives (other than reserves) and employee stock options , US Dollars"
IAOE_BP6_USD,en,"International Investment Positions, Assets, Other investment,  Other equity , US Dollars"
IAO_BP6_USD,en,"International Investment Positions, Assets, Other investment , US Dollars"
IAOD_BP6_USD,en,"International Investment Positions, Other investment: Net acquisition of financial assets, Debt instruments, US Dollars"
IAPD_BP6_USD,en,"International Investment Positions, Assets, Portfolio investment, Debt securities , US Dollars"
IAPE_BP6_USD,en,"International Investment Positions, Assets, Portfolio investment, Equity and investment fund shares , US Dollars"
IAP_BP6_USD,en,"International Investment Positions, Assets, Portfolio investment , US Dollars"
IARFR_BP6_USD,en,"International Investment Positions, Reserve Assets, Net (with Fund Record), US Dollars"
BK_DB_BP6_USD,en,"Balance of Payments, Capital Account, Total, Debit, US Dollars"
FASAGEA_EUR,en,"Central Bank Survey, Claims on Central Government (Euro Area-Wide-Residency), Euros"
FASAFEA_EUR,en,"Central Bank Survey, Claims on Nonresidents (Euro Area-Wide-Residency), Euros"
FASABEA_EUR,en,"Central Bank Survey, Claims on Other Depository Corporations (Euro Area-Wide-Residency), Euros"
FASAOFEA_EUR,en,"Central Bank Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros"
