ID,VERSION,AGENCYID,ISFINAL,XMLNS,NAME.XML_LANG,NAME.TEXT,KEYFAMILYREF.KEYFAMILYID,KEYFAMILYREF.KEYFAMILYAGENCYID,DESCRIPTION.XML_LANG,DESCRIPTION.TEXT
DS-IFS,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,International Financial Statistics (IFS),IFS,IMF,,
DS-IFS_2017M08,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2017 M08",IFS_2017M08,IMF,,
DS-IFS_2017M09,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2017 M09",IFS_2017M09,IMF,,
DS-IFS_2017M10,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2017 M10",IFS_2017M10,IMF,,
DS-IFS_2017M11,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2017 M11",IFS_2017M11,IMF,,
DS-IFS_2017M12,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2017 M12",IFS_2017M12,IMF,,
DS-IFS_2018M01,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M01",IFS_2018M01,IMF,,
DS-IFS_2018M02,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M02",IFS_2018M02,IMF,,
DS-IFS_2018M03,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M03",IFS_2018M03,IMF,,
DS-IFS_2018M04,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M04",IFS_2018M04,IMF,,
DS-IFS_2018M05,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M05 ",IFS_2018M05,IMF,,
DS-IFS_2018M06,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M06",IFS_2018M06,IMF,,
DS-IFS_2018M07,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M07",IFS_2018M07,IMF,,
DS-IFS_2018M08,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M08",IFS_2018M08,IMF,,
DS-IFS_2018M09,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M09",IFS_2018M09,IMF,,
DS-IFS_2018M10,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M10",IFS_2018M10,IMF,,
DS-IFS_2018M11,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M11",IFS_2018M11,IMF,,
DS-IFS_2018M12,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2018 M12",IFS_2018M12,IMF,,
DS-IFS_2019M01,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M01",IFS_2019M01,IMF,,
DS-IFS_2019M02,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M02",IFS_2019M02,IMF,,
DS-IFS_2019M03,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M03",IFS_2019M03,IMF,,
DS-IFS_2019M04,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M04",IFS_2019M04,IMF,,
DS-IFS_2019M05,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M05",IFS_2019M05,IMF,,
DS-IFS_2019M06,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M06",IFS_2019M06,IMF,,
DS-IFS_2019M07,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M07",IFS_2019M07,IMF,,
DS-IFS_2019M08,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M08",IFS_2019M08,IMF,,
DS-IFS_2019M09,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M09",IFS_2019M09,IMF,,
DS-IFS_2019M10,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M10",IFS_2019M10,IMF,,
DS-IFS_2019M11,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M11",IFS_2019M11,IMF,,
DS-IFS_2019M12,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2019 M12",IFS_2019M12,IMF,,
DS-IFS_2020M01,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M01",IFS_2020M01,IMF,,
DS-IFS_2020M02,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M02",IFS_2020M02,IMF,,
DS-IFS_2020M03,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M03",IFS_2020M03,IMF,,
DS-IFS_2020M04,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M04",IFS_2020M04,IMF,,
